"","pvalue","log2FoldChange","padj","Regulation"
"ENSG00000285839",2.29988441306259e-08,21.8483844392985,6.79604458493596e-07,"Up"
"ENSG00000259976",5.48712267695545e-08,21.2593611569184,1.49384881453807e-06,"Up"
"ENSG00000259080",2.09184878725348e-12,9.54747421390477,1.43108829926831e-10,"Up"
"ENSG00000257065",4.5365780130838e-13,9.29054613375274,3.39546509844479e-11,"Up"
"ENSG00000095752",1.08258572348581e-52,8.53935101170076,6.46195418348682e-49,"Up"
"ENSG00000205867",1.09714532123879e-09,8.44204105123115,4.35864254407608e-08,"Up"
"ENSG00000226979",6.5277965817586e-11,8.42237969535995,3.30206930478958e-09,"Up"
"ENSG00000258052",2.06492769281007e-09,8.27308727871214,7.80098316353374e-08,"Up"
"ENSG00000171855",1.81363368250917e-15,8.22297228975721,2.14367909918757e-13,"Up"
"ENSG00000233232",7.52457795090818e-22,8.04893791258562,2.06502095581475e-19,"Up"
"ENSG00000229780",1.23281810747365e-08,7.95053402966038,3.90899935379028e-07,"Up"
"ENSG00000131668",6.48426160039888e-08,7.91509392642685,1.7454140921209e-06,"Up"
"ENSG00000286088",2.0102483598199e-07,7.75745224566714,4.74831010775401e-06,"Up"
"ENSG00000270117",1.14984916614527e-06,7.56569241582394,2.18581199768189e-05,"Up"
"ENSG00000111335",4.70228476920312e-23,7.33349719350996,1.40339688936867e-20,"Up"
"ENSG00000183695",2.43780236924808e-10,7.29657016802773,1.10028297482357e-08,"Up"
"ENSG00000073756",1.22435550816817e-46,7.21160017983115,3.24807912366925e-43,"Up"
"ENSG00000277611",2.47266967366921e-05,7.00315138822096,0.000312698416994311,"Up"
"ENSG00000089127",7.03949193787383e-25,6.97722412024655,2.50858073893545e-22,"Up"
"ENSG00000272162",3.21822364786956e-05,6.92931322209573,0.000391034645376761,"Up"
"ENSG00000287254",8.97148631104753e-05,6.8247572889901,0.000941552558956355,"Up"
"ENSG00000121853",9.06088894082903e-05,6.81915914507209,0.00094801833633319,"Up"
"ENSG00000157601",1.09765439774243e-34,6.81053400032827,1.04830385601993e-31,"Up"
"ENSG00000135114",6.98386112614004e-07,6.74395793247767,1.41791384564387e-05,"Up"
"ENSG00000286367",1.59589791954155e-07,6.7383437953177,3.87626233234731e-06,"Up"
"ENSG00000197540",4.41977609726548e-05,6.70673800356901,0.000513761314986907,"Up"
"ENSG00000167772",5.29463543177713e-44,6.64115648794498,1.26414715569111e-40,"Up"
"ENSG00000099985",9.79223057795026e-20,6.61215998272883,2.05087102876439e-17,"Up"
"ENSG00000125538",2.0707239518632e-30,6.58798360334992,1.26770782242784e-27,"Up"
"ENSG00000286273",0.000899318353377515,6.57846692522255,0.00633616347636922,"Up"
"ENSG00000269993",0.000106960105369522,6.55704391815988,0.00108860498146643,"Up"
