"","PValue","logFC","FDR","Regulation"
"ENSG00000259080",0.000104440714358246,9.6121446846012,0.00383123353837498,"Up"
"ENSG00000257065",1.51745883996444e-05,9.34897703825151,0.00175380047013089,"Up"
"ENSG00000095752",8.99150409106075e-07,8.54772387663048,0.000614181739792491,"Up"
"ENSG00000205867",0.000134955319725586,8.49734533133151,0.00434687793242947,"Up"
"ENSG00000258052",0.000112527811835456,8.33068931310402,0.00401633049486225,"Up"
"ENSG00000171855",6.7475880882543e-05,8.05537950380138,0.00318272234607343,"Up"
"ENSG00000229780",0.000129579904057895,8.01235893098467,0.00426234708890387,"Up"
"ENSG00000226979",8.25610619756163e-06,7.92007504221427,0.00129100615784548,"Up"
"ENSG00000233232",1.00731739329666e-05,7.88063175053139,0.00141517377615699,"Up"
"ENSG00000111335",6.78738672538366e-05,7.34325946897119,0.00318272234607343,"Up"
"ENSG00000073756",1.6405272214117e-06,7.23062264371763,0.000683812941256888,"Up"
"ENSG00000089127",4.34047850810479e-05,7.00759327393107,0.00261339023608048,"Up"
"ENSG00000183695",3.94256298558588e-05,6.96758415072772,0.00250314840325226,"Up"
"ENSG00000157601",7.71894931458591e-06,6.83606353021846,0.00128366045041193,"Up"
"ENSG00000167772",1.63235996901929e-06,6.66276322250203,0.000683812941256888,"Up"
"ENSG00000125538",2.71119623206008e-06,6.55953929796754,0.000907746114830315,"Up"
"ENSG00000099985",2.15245840369268e-05,6.54808207927704,0.0019451543874598,"Up"
"ENSG00000286367",0.000241112066112297,6.41168592603468,0.00595534777757916,"Up"
"ENSG00000111331",4.84537172315752e-06,6.13534737418734,0.00105265100601606,"Up"
"ENSG00000163739",9.48545866189564e-07,6.04741102772648,0.00062099825387839,"Up"
"ENSG00000107159",1.15263492703006e-06,5.97224178997966,0.00064977773843464,"Up"
"ENSG00000137959",6.98929130208312e-05,5.96351203236091,0.00321164799027582,"Up"
"ENSG00000163606",4.12997002113869e-05,5.90146176549478,0.00254399891599019,"Up"
"ENSG00000233975",0.000509381589673423,5.89654899795501,0.00879823205110162,"Up"
"ENSG00000134326",0.000327962750822193,5.85436815283696,0.00694755215397455,"Up"
"ENSG00000138892",0.000313459422624575,5.75457566135792,0.00686871427297589,"Up"
"ENSG00000260314",1.28247457385391e-07,5.70213511414974,0.000488520956904447,"Up"
"ENSG00000169403",1.80447940618299e-05,5.66941624483817,0.00182597358655389,"Up"
"ENSG00000081041",2.17327677659541e-08,5.61982874654006,0.000430504396675784,"Up"
"ENSG00000262983",0.000263225568703661,5.57749995950175,0.00622967179265331,"Up"
"ENSG00000134321",0.000597633802038131,5.47822632982975,0.00954719998755914,"Up"
"ENSG00000108688",1.92655282644963e-05,5.46905022856509,0.00185257693879324,"Up"
"ENSG00000233308",2.60677020795051e-05,5.42644658316759,0.00202339062161107,"Up"
"ENSG00000119917",0.000122109189136801,5.36729418718967,0.00414188515001864,"Up"
"ENSG00000115008",0.000119610336232784,5.29385966728061,0.00409152818532287,"Up"
"ENSG00000113600",0.000339694396630367,5.27795744531829,0.00704528941508706,"Up"
"ENSG00000163806",1.21506998688706e-07,5.21862955968959,0.000488520956904447,"Up"
"ENSG00000124253",3.03870027988045e-05,5.20950669642977,0.0022084218150826,"Up"
"ENSG00000118503",3.6406125814936e-06,5.20197252370875,0.000974552630091983,"Up"
"ENSG00000136881",2.23508363353032e-05,5.02365099523823,0.00195385444980771,"Up"
"ENSG00000131386",2.97416745275716e-07,5.00628212193708,0.000513555357890018,"Up"
"ENSG00000131096",5.20412431688846e-05,4.86699706668261,0.00280131789655553,"Up"
"ENSG00000149781",5.70357810771891e-07,4.84923909846787,0.000513555357890018,"Up"
"ENSG00000170961",6.37932473936282e-06,4.80921049817852,0.00119215135624564,"Up"
"ENSG00000185955",5.16437275184391e-05,4.79814694348109,0.00280119781262952,"Up"
"ENSG00000108924",4.66437236863722e-05,4.74821708552466,0.00267816093479231,"Up"
